"%customer_name,","%customer_name,",theme,frontend/Magento/luma
"%name,","%name,",theme,frontend/Magento/luma
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>",theme,frontend/Magento/luma
About Us,About Us,theme,frontend/Magento/luma
Billing Info,Billing Info,theme,frontend/Magento/luma
Check the status of orders,Check the status of orders,theme,frontend/Magento/luma
Credit memo for your %store_name order,Credit memo for your %store_name order,theme,frontend/Magento/luma
Customer Service,Customer Service,theme,frontend/Magento/luma
Email:,بريد إلكتروني:,theme,frontend/Magento/luma
Footer,Footer,theme,frontend/Magento/luma
For shipping to multiple family members and friends,For shipping to multiple family members and friends,theme,frontend/Magento/luma
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.",theme,frontend/Magento/luma
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.",theme,frontend/Magento/luma
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.",theme,frontend/Magento/luma
Invoice for your %store_name order,Invoice for your %store_name order,theme,frontend/Magento/luma
Once your package ships we will send you a tracking number.,Once your package ships we will send you a tracking number.,theme,frontend/Magento/luma
Order History,Order History,theme,frontend/Magento/luma
Password you set when creating account,Password you set when creating account,theme,frontend/Magento/luma
Password:,Password:,theme,frontend/Magento/luma
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>",theme,frontend/Magento/luma
Proceed through checkout faster,Proceed through checkout faster,theme,frontend/Magento/luma
Quick Checkout,Quick Checkout,theme,frontend/Magento/luma
Shipping Info,Shipping Info,theme,frontend/Magento/luma
Store alternative addresses,Store alternative addresses,theme,frontend/Magento/luma
Thank you for your order from %store_name.,Thank you for your order from %store_name.,theme,frontend/Magento/luma
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:",theme,frontend/Magento/luma
Update to your %store_name credit memo,Update to your %store_name credit memo,theme,frontend/Magento/luma
Update to your %store_name invoice,Update to your %store_name invoice,theme,frontend/Magento/luma
Update to your %store_name order,Update to your %store_name order,theme,frontend/Magento/luma
Update to your %store_name shipment,Update to your %store_name shipment,theme,frontend/Magento/luma
View past orders,عرض الأوامر الماضية,theme,frontend/Magento/luma
Welcome to %store_name,مرحبا بك في %store_name,theme,frontend/Magento/luma
Welcome to %store_name.,مرحبا بك في %store_name.,theme,frontend/Magento/luma
"When you sign in to your account, you will be able to:","When you sign in to your account, you will be able to:",theme,frontend/Magento/luma
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","You can check the status of your order by <a href=""%account_url"">logging into your account</a>.",theme,frontend/Magento/luma
Your %store_name order confirmation,تأكيد الطلب من %store_name,theme,frontend/Magento/luma
Your %store_name order has shipped,تم شحن الطلب من %store_name,theme,frontend/Magento/luma
Your Credit Memo #%creditmemo_id for Order #%order_id,Your Credit Memo #%creditmemo_id for Order #%order_id,theme,frontend/Magento/luma
Your Invoice #%invoice_id for Order #%order_id,Your Invoice #%invoice_id for Order #%order_id,theme,frontend/Magento/luma
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,theme,frontend/Magento/luma
"Your Order <span class=""no-link"">#%increment_id</span>","Your Order <span class=""no-link"">#%increment_id</span>",theme,frontend/Magento/luma
Your Shipment #%shipment_id for Order #%order_id,Your Shipment #%shipment_id for Order #%order_id,theme,frontend/Magento/luma
Your shipping confirmation is below. Thank you again for your business.,Your shipping confirmation is below. Thank you again for your business.,theme,frontend/Magento/luma
Manage Addresses,إدارة العناوين,theme,frontend/Magento/luma
Remove,إزالة,theme,frontend/Magento/luma
Shop By,التسوق حسب,theme,frontend/Magento/luma
Now Shopping by,تسوق الآن بواسطة,theme,frontend/Magento/luma
Order Status,حالة الطلب,theme,frontend/Magento/luma
Remove This Item,حذف هذا البند,theme,frontend/Magento/luma
